tweet_id,airline_sentiment,airline_sentiment_confidence,negativereason,negativereason_confidence,airline,airline_sentiment_gold,name,negativereason_gold,retweet_count,text,tweet_coord,tweet_created,tweet_location,user_timezone
570301130888122000,positive,0.3486,,0,Virgin America,,jnardino,,0,@VirginAmerica plus you've added commercials to the experience... tacky.,,42059.4694328704,,Pacific Time (US & Canada)
570300616901320000,positive,0.6745,,0,Virgin America,,cjmcginnis,,0,"@VirginAmerica yes, nearly every time I fly VX this “ear worm” won’t go away :)",,42059.4680208333,San Francisco CA,Pacific Time (US & Canada)
570299953286942000,positive,0.6559,,,Virgin America,,dhepburn,,0,"@virginamerica Well, I didn't…but NOW I DO! :-D",,42059.4661921296,San Diego,Pacific Time (US & Canada)
570295459631263000,positive,1,,,Virgin America,,YupitsTate,,0,"@VirginAmerica it was amazing, and arrived an hour early. You're too good to me.",,42059.4537847222,Los Angeles,Eastern Time (US & Canada)
570289724453216000,positive,1,,,Virgin America,,HyperCamiLax,,0,@VirginAmerica I &lt;3 pretty graphics. so much better than minimal iconography. :D,,42059.437962963,NYC,America/New_York
570289584061480000,positive,1,,,Virgin America,,HyperCamiLax,,0,@VirginAmerica This is such a great deal! Already thinking about my 2nd trip to @Australia &amp; I haven't even gone on my 1st trip yet! ;p,,42059.4375694444,NYC,America/New_York
570287408438120000,positive,0.6451,,,Virgin America,,mollanderson,,0,@VirginAmerica @virginmedia I'm flying your #fabulous #Seductive skies again! U take all the #stress away from travel http://t.co/ahlXHhKiyn,,42059.4315740741,,Eastern Time (US & Canada)
570285904809598000,positive,1,,,Virgin America,,sjespers,,0,@VirginAmerica Thanks!,,42059.4274189815,"San Francisco, CA",Pacific Time (US & Canada)
570277724385734000,positive,1,,,Virgin America,,ItzBrianHunty,,0,@VirginAmerica So excited for my first cross country flight LAX to MCO I've heard nothing but great things about Virgin America. #29DaysToGo,,42059.404849537,west covina,Pacific Time (US & Canada)
570270684619923000,positive,1,,,Virgin America,,thebrandiray,,0,I ❤️ flying @VirginAmerica. ☺️👍,,42059.3854166667,Somewhere celebrating life. ,Atlantic Time (Canada)
570267956648792000,positive,1,,,Virgin America,,JNLpierce,,0,@VirginAmerica you know what would be amazingly awesome? BOS-FLL PLEASE!!!!!!! I want to fly with only you.,,42059.3778935185,Boston | Waltham,Quito
570264145116819000,positive,1,,,Virgin America,,DT_Les,,0,@VirginAmerica I love this graphic. http://t.co/UT5GrRwAaA,"[40.74804263, -73.99295302]",42059.3673726852,,
570259420287868000,positive,1,,,Virgin America,,ElvinaBeck,,0,=@VirginAmerica I love the hipster innovation. you are a feel good brand.,,42059.3543402778,Los Angeles,Pacific Time (US & Canada)
570076792993611000,positive,1,,,Virgin America,,NorthTxHomeTeam,,0,@VirginAmerica this is great news!  America could start flights to Hawaii by end of year http://t.co/r8p2Zy3fe4 via @Pacificbiznews,"[33.2145038, -96.9321504]",42058.8503819444,Texas,Central Time (US & Canada)
570051381534396000,positive,1,,,Virgin America,,Nicsplace,,0,@VirginAmerica Moodlighting is the only way to fly! Best experience EVER! Cool and calming. 💜✈ #MoodlitMonday,,42058.7802662037,Central Texas,
570045393565691000,positive,1,,,Virgin America,,Nicsplace,,0,"@VirginAmerica @freddieawards Done and done! Best airline around, hands down!",,42058.7637384259,Central Texas,
